date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
3/14/2013;19330;13.89827;1572;1572;3915;0;1035;178;116;111;0;0;0;0
3/15/2013;9965;7.16484;499;499;2521;0;1208;142;83;7;0;0;0;0
3/16/2013;3746;2.69337;292;292;2251;0;1274;136;28;2;0;0;0;0
3/17/2013;4901;3.52382;332;332;2304;0;1254;127;59;0;0;0;0;0
3/18/2013;6714;4.82736;385;385;2373;0;1232;150;58;0;0;0;0;0
3/19/2013;7688;5.52767;382;382;2368;0;1227;151;62;0;0;0;0;0
3/20/2013;1197;0.86064;90;90;2505;0;1390;36;14;0;0;0;0;0
3/21/2013;2591;1.86293;122;122;2030;0;1377;38;25;0;0;0;0;0
3/22/2013;7574;5.44571;448;448;2454;0;1290;74;46;30;0;0;0;0
3/23/2013;6777;4.87266;525;525;2554;0;1174;198;56;12;0;0;0;0
3/24/2013;8597;6.18124;507;507;2531;0;1174;185;81;0;0;0;0;0
3/25/2013;13597;9.77624;803;803;2916;0;1117;185;100;38;0;0;0;0
3/26/2013;12981;9.33334;686;686;2764;0;1218;71;119;32;0;0;0;0
3/27/2013;6660;4.78854;389;389;2378;0;1255;136;43;6;0;0;0;0
3/28/2013;12077;8.68336;548;548;2584;0;1236;84;110;10;0;0;0;0
3/29/2013;11884;8.5446;621;621;2679;0;1207;108;96;29;0;0;0;0
3/30/2013;4408;3.16935;348;348;2324;0;1237;158;45;0;0;0;0;0
3/31/2013;12002;8.62944;574;574;2618;0;1247;63;112;18;0;0;0;0
4/1/2013;4766;3.42675;240;240;2184;0;1311;80;49;0;0;0;0;0
4/2/2013;5803;4.17236;394;394;2384;0;1232;151;54;3;0;0;0;0
4/3/2013;23561;16.94036;1113;1113;3319;0;1057;140;158;85;0;0;0;0
4/4/2013;8494;6.10719;580;580;2626;0;1176;175;67;22;0;0;0;0
4/5/2013;13863;9.9675;665;665;2737;0;1237;58;92;53;0;0;0;0
4/6/2013;0;0;2;2;2505;0;1439;1;0;0;0;0;0;0
4/7/2013;0;0;1;1;2505;0;1440;0;0;0;0;0;0;0
4/8/2013;0;0;1;1;2505;0;1440;0;0;0;0;0;0;0
4/9/2013;15950;11.46805;777;777;2882;0;1171;107;130;32;0;0;0;0
4/10/2013;6248;4.49231;297;297;2258;0;1330;38;61;11;0;0;0;0
4/11/2013;7975;5.73403;342;342;2317;0;1304;52;81;3;0;0;0;0
4/12/2013;11341;8.15418;808;808;2922;0;1067;284;62;27;0;0;0;0
4/13/2013;8745;6.28766;638;638;2702;0;1116;217;104;3;0;0;0;0
4/14/2013;4971;3.57415;302;302;2264;0;1266;143;31;0;0;0;0;0
4/15/2013;6723;4.83384;486;486;2504;0;1202;146;86;6;0;0;0;0
4/16/2013;9707;6.97933;583;583;2630;0;1229;94;94;23;0;0;0;0
4/17/2013;10223;7.35034;597;597;2648;0;1165;158;101;16;0;0;0;0
4/18/2013;12600;9.0594;645;645;2711;0;1211;70;119;26;14;11;1;1
4/19/2013;5572;4.00627;492;492;2512;0;1200;159;73;8;0;0;0;0
4/20/2013;3319;2.38636;306;306;2270;0;1288;99;49;4;0;0;0;0
4/21/2013;5286;3.80063;284;284;2241;0;1348;31;42;19;0;0;0;0
4/22/2013;11166;8.02835;592;592;2641;0;1246;63;96;35;0;0;0;0
4/23/2013;497;0.35734;51;51;2505;0;1414;19;7;0;0;0;0;0
4/24/2013;7191;5.17033;374;374;2358;0;1300;55;74;11;0;0;0;0
4/25/2013;7601;5.46512;398;398;2390;0;1291;66;74;9;0;0;0;0
4/26/2013;7048;5.06751;442;442;2447;0;1272;77;74;17;0;0;0;0
4/27/2013;14382;10.34065;605;605;2658;0;1206;78;96;33;27;22;0;0
4/28/2013;6288;4.52107;348;348;2324;0;1299;68;61;12;0;0;0;0
4/29/2013;7560;5.43564;416;416;2413;0;1251;85;65;16;23;18;0;0
4/30/2013;0;0;8;8;2505;0;1435;5;0;0;0;0;0;0
5/1/2013;5264;3.78482;300;300;2262;0;1331;46;52;11;0;0;0;0
5/2/2013;8225;5.91378;417;417;2414;0;1271;76;89;4;0;0;0;0
5/3/2013;6467;4.64977;251;251;2198;0;1314;59;56;11;0;0;0;0
5/4/2013;19089;13.72499;958;958;3117;322;1077;107;152;55;49;18;2;1
5/5/2013;7145;5.13726;358;358;2338;0;1326;35;56;23;0;0;0;0
5/6/2013;2045;1.47036;125;125;2034;0;1385;34;18;3;0;0;0;0
5/7/2013;7291;5.24223;345;345;2320;424;1335;33;48;24;0;0;0;0
5/8/2013;5571;4.00555;359;359;2339;0;1266;112;57;5;0;0;0;0
5/9/2013;5535;3.97967;293;293;2253;0;1323;49;61;7;0;0;0;0
5/10/2013;8784;6.3157;531;531;2562;0;1200;157;70;13;0;0;0;0
5/11/2013;6320;4.54408;364;364;2345;0;1275;99;62;4;0;0;0;0
5/12/2013;10117;7.27412;545;545;2580;0;1254;80;73;33;0;0;0;0
5/13/2013;9303;6.68886;559;559;2599;0;1187;154;90;9;0;0;0;0
5/14/2013;5237;3.7654;280;280;2236;0;1330;52;49;9;0;0;0;0
5/15/2013;6827;4.90861;378;378;2363;0;1282;83;65;10;0;0;0;0
5/16/2013;3489;2.50859;172;172;2095;0;1374;33;30;3;0;0;0;0
5/17/2013;11305;8.1283;568;568;2611;0;1242;69;107;22;0;0;0;0
5/18/2013;8741;6.28478;534;534;2566;0;1198;152;79;11;0;0;0;0
5/19/2013;14523;10.44204;739;739;2833;0;1175;99;138;28;0;0;0;0
5/20/2013;17234;12.39125;907;907;3051;0;1119;135;146;40;0;0;0;0
